"","symb.Species...symb.Species..in..fungi_link.Fungi.."
"1","Amanita phalloides var. phalloides"
"2","Arrhenia acerosa var. acerosa"
"3","Arrhenia lobata"
"4","Arrhenia onisca"
"5","Ascocoryne inflata nom.prov"
"6","Ascocoryne olivaceo-purpurea nom.prov."
"7","Ascocoryne turficola"
"8","Beauveria bassiana"
"9","Camarophyllopsis atrovelutina"
"10","Capitoclavaria spinispora nom.prov."
"11","Ciboria autumnalis nom.prov."
"12","Clavaria caerulea nom.prov."
"13","Clavaria entolomatospora nom.prov."
"14","Clavaria flavipes"
"15","Clavaria flavostellifera"
"16","Clavaria greletii"
"17","Clavulina aff. coralloides"
"18","Clavulina coralloides s.l."
"19","Clavulina incarnata"
"20","Coccomyces lignicola'nom.prov.'"
"21","Cordyceps bifusispora"
"22","Cortinarius cf. raphanoides"
"23","Cortinarius diasemospermus var. diasemospermus"
"24","Cortinarius flexipes s.l."
"25","Cortinarius huronensis var. huronensis"
"26","Cortinarius uliginosus f. uliginosus"
"27","Cosmospora polymorpharicola nom.prov."
"28","Cotylidia muscigena"
"29","Cuphophyllus colemannianus"
"30","Cuphophyllus fuscescens"
"31","Cuphophyllus ochraceopallidus"
"32","Dermoloma pseudocuneifolium"
"33","Discinella schimperi"
"34","Entoloma ?? glaucobasis"
"35","Entoloma aethiops"
"36","Entoloma aff debibulatum"
"37","Entoloma aff. farinoasprellum"
"38","Entoloma ameides"
"39","Entoloma anatinum"
"40","Entoloma atrocoeruleum"
"41","Entoloma caesiocinctum"
"42","Entoloma cf gomerense"
"43","Entoloma cf. mediterraneense"
"44","Entoloma chalybaeum var. chalybaeum"
"45","Entoloma chloropolium"
"46","Entoloma corvinum"
"47","Entoloma cuniculorum"
"48","Entoloma elodes"
"49","Entoloma exile"
"50","Entoloma festiva"
"51","Entoloma fuscotomentosum"
"52","Entoloma griseocyaneum"
"53","Entoloma hebesoides nom.prov."
"54","Entoloma hispidulum"
"55","Entoloma infula var. infula"
"56","Entoloma lividocyanulum"
"57","Entoloma longistriatum var. longistriatum"
"58","Entoloma longistriatum var. microsporum"
"59","Entoloma melanochroum"
"60","Entoloma microchalybaeum nom.prov."
"61","Entoloma mougeotii"
"62","Entoloma nausiosme"
"63","Entoloma ollare"
"64","Entoloma poliopus var. parvisporigerum"
"65","Entoloma poliopus var. poliopus"
"66","Entoloma prunuloides"
"67","Entoloma pseudocoelestinum"
"68","Entoloma rhombisporum"
"69","Entoloma sericeum var. sericeum"
"70","Entoloma velenovskyi"
"71","Entoloma xanthochroum"
"72","Entoloma'melbyensis'"
"73","Galerina aff. perplexa"
"74","Galerina cerina var. cerina"
"75","Galerina cerina var. longicystis"
"76","Galerina farinacea"
"77","Galerina sphagnicola"
"78","Galerina sphagnorum"
"79","Galerina vittiformis s.l."
"80","Geoglossum elongatum"
"81","Geoglossum simile"
"82","Gibellula leiopus"
"83","Glutinoglossum heptaseptatum"
"84","Hebeloma cf. aprile"
"85","Hebeloma salicicola"
"86","Hirsutella'coleoptera'"
"87","Humaria geoporoides"
"88","Hygrocybe conica s.l."
"89","Hygrocybe reidii"
"90","Hygrocybe spadicea"
"91","Hygrocybe splendidissima"
"92","Hygrocybe substrangulata"
"93","Hygrophorus ? piceae"
"94","Hymenoscyphus fructigenus var. fructigenus"
"95","Hymenoscyphus phascoides"
"96","Inocybe cf flavella"
"97","Inocybe stellatospora"
"98","Ionomidotis nom.prov."
"99","Laccaria scotica"
"100","Lophodermium eriophori"
"101","Maireina filipendula Læssøe"
"102","Maireina monacha"
"103","Microglossum nudipes"
"104","Microglossum olivaceum s.l."
"105","Nectria pallidula"
"106","Neottiella hetieri"
"107","Octospora coccinea"
"108","Ophiocordyceps'coleoptera'"
"109","Parascutellinia carneosanguinea"
"110","Peniophora reidii"
"111","Peziza buxea"
"112","Pezoloma ericae nom.prov."
"113","Pseudotricholoma metapodium"
"114","Pulvinula alba"
"115","Ramariopsis arbuscula nom.prov."
"116","Ramariopsis citrina"
"117","Ramariopsis luteoochracea"
"118","Ramariopsis rufipes"
"119","Ramariopsis tenuiramosa"
"120","Ramariopsis'simplex'"
"121","Ramsbottomia macracantha"
"122","Rhytismatales'kokkær-svampen'"
"123","Rimbachia bryophila"
"124","Schizoxylon cf. compositum"
"125","Sphagnurus paluster"
"126","Stictis hydrangeae"
"127","Suillus grevillei var. grevillei"
"128","Torrubiella albolanata"
"129","Trichoglossum variabile"
"130","Trichophaea albospadicea"
